        52650.434783    14.874     0.013
        52650.448688    14.898     0.013
        52650.462659    14.964     0.013
        52650.476724    15.000     0.013
        52665.453961    15.322     0.018
        52665.468325    15.341     0.018
        52665.482626    15.393     0.018
        52665.496921    15.444     0.020
        52665.511340    15.329     0.018
        52677.407218    15.162     0.018
        52677.421500    15.175     0.022
        52677.435921    15.188     0.030
        52677.450227    15.262     0.018
        52680.445171    15.081     0.018
        52680.460054    15.149     0.020
        52697.401292    15.362     0.050
        52697.415613    15.328     0.074
        52697.446546    15.393     0.046
        52706.369390    15.251     0.017
        52706.382265    15.263     0.017
        52706.395215    15.314     0.017
        52706.408440    15.343     0.017
        52706.421581    15.363     0.018
        52712.318567    14.892     0.020
        52712.344507    14.974     0.018
        52712.357409    15.000     0.018
        52712.370508    15.037     0.018
        52724.407121    14.508     0.009
        52753.259676    14.940     0.015
        52753.272336    14.563     0.011
        52753.288879    14.383     0.009
        52753.301170    14.438     0.009
        52753.314142    14.510     0.009
        52770.215817    15.094     0.028
        52770.227496    15.138     0.028
        52770.239113    15.204     0.030
        52770.250586    15.189     0.030
        52770.262423    15.236     0.030
        52797.219484    15.377     0.028
        52797.229507    15.331     0.028
        52797.239480    15.346     0.030
        52797.249442    15.352     0.030
        52797.259409    15.312     0.030
        52811.219413    14.903     0.017
        52811.229177    14.945     0.017
        52811.239048    14.981     0.018
        52811.248805    15.013     0.018
        52811.258598    15.056     0.018
        52842.173494    14.929     0.024
        52847.160178    14.593     0.030
        52847.180502    14.744     0.018
        52847.190558    14.719     0.018
        52847.201013    14.814     0.020
        52992.472982    15.349     0.018
        52992.500087    15.333     0.017
        52992.513381    15.367     0.022
        52992.526645    15.381     0.020
        53034.406387    15.003     0.015
        53034.418862    15.020     0.015
        53034.431251    15.069     0.017
        53034.443688    15.071     0.017
        53051.390901    15.347     0.015
        53051.402501    15.300     0.015
        53051.414260    15.321     0.015
        53051.425864    15.364     0.015
        53051.437505    15.406     0.015
        53065.347752    15.060     0.015
        53065.391579    15.144     0.015
        53065.409546    15.191     0.016
        53078.404969    14.509     0.015
        53078.415654    14.569     0.012
        53094.279377    15.102     0.013
        53094.289018    15.125     0.013
        53094.300121    15.134     0.013
        53094.309742    15.174     0.013
        53094.319646    15.195     0.013
        53109.301761    14.547     0.012
        53109.311881    14.401     0.010
        53109.322093    14.389     0.010
        53109.332258    14.435     0.010
        53109.342309    14.489     0.010
        53122.251874    15.315     0.017
        53122.262222    15.330     0.017
        53122.272579    15.321     0.017
        53122.282961    15.342     0.017
        53122.293601    15.374     0.017
        53125.289910    15.180     0.035
        53125.299852    15.249     0.033
        53125.309801    15.327     0.039
        53125.319748    15.342     0.041
        53125.329740    15.345     0.039
        53126.292074    15.256     0.035
        53126.302235    15.251     0.035
        53126.312294    15.255     0.035
        53126.322387    15.310     0.037
        53126.332457    15.340     0.037
        53137.254005    14.578     0.012
        53137.264075    14.664     0.012
        53137.273961    14.697     0.013
        53137.283790    14.758     0.013
        53137.293504    14.776     0.015
        53153.250647    15.348     0.022
        53153.259659    15.331     0.022
